SCORE	StdDev	height	second
1.014769	57.833128	11	0
0.969815	55.271153	11	1
0.965357	55.017108	11	2
0.993229	56.605541	11	3
1.003333	57.181378	11	4
0.967088	55.115753	11	5
1.014601	57.823567	11	6
1.042939	59.438612	11	7
1.008044	57.449886	11	8
1.032857	58.864020	11	9
0.987967	56.305651	11	10
0.973003	61.892852	12	0
1.000003	63.610360	12	1
1.003735	63.847770	12	2
0.998229	63.497508	12	3
1.000178	63.621473	12	4
1.021529	64.979616	12	5
1.019583	64.855824	12	6
0.998097	63.489134	12	7
0.975492	62.051192	12	8
0.993762	63.213397	12	9
1.005498	63.959910	12	10
1.010891	64.302956	12	11
1.031560	70.918276	13	0
0.979324	67.327131	13	1
1.004044	69.026594	13	2
1.030933	70.875193	13	3
0.965888	66.403418	13	4
0.991691	68.177306	13	5
0.991034	68.132136	13	6
1.009773	69.420432	13	7
0.965408	66.370424	13	8
0.991530	68.166227	13	9
1.006544	69.198475	13	10
0.980656	67.418699	13	11
1.051614	72.296971	13	12
0.983132	71.836462	14	0
1.018821	74.444204	14	1
0.980842	71.669137	14	2
1.006631	73.553524	14	3
0.964178	70.451500	14	4
1.033371	75.507347	14	5
1.011598	73.916463	14	6
1.015078	74.170743	14	7
1.005870	73.497888	14	8
1.011734	73.926353	14	9
0.985805	72.031757	14	10
0.979309	71.557089	14	11
0.999839	73.057235	14	12
1.003792	73.346053	14	13
0.977729	75.823256	15	0
0.997472	77.354366	15	1
0.975302	75.635076	15	2
0.953843	73.970926	15	3
1.008988	78.247419	15	4
1.000103	77.558359	15	5
1.019361	79.051859	15	6
1.001733	77.684776	15	7
1.005817	78.001511	15	8
0.991293	76.875149	15	9
1.017205	78.884672	15	10
1.045341	81.066606	15	11
1.003712	77.838240	15	12
1.007541	78.135215	15	13
0.994559	77.128409	15	14
1.020056	85.455276	16	0
0.970364	81.292244	16	1
1.038461	86.997135	16	2
0.973656	81.568054	16	3
0.984076	82.441044	16	4
1.015362	85.062018	16	5
0.996134	83.451200	16	6
0.972373	81.460572	16	7
1.027816	86.105289	16	8
0.991981	83.103219	16	9
1.012900	84.855769	16	10
1.016572	85.163323	16	11
0.982665	82.322812	16	12
0.998381	83.639386	16	13
1.008186	84.460792	16	14
0.991018	83.022546	16	15
1.007684	90.071439	17	0
0.995862	89.014782	17	1
1.013112	90.556687	17	2
0.992745	88.736141	17	3
1.018544	91.042203	17	4
1.015863	90.802598	17	5
0.993382	88.793116	17	6
1.002467	89.605176	17	7
0.977225	87.348903	17	8
1.026314	91.736685	17	9
0.998855	89.282267	17	10
0.950183	84.931748	17	11
0.980522	87.643641	17	12
1.008185	90.116239	17	13
0.983361	87.897393	17	14
1.044187	93.334243	17	15
0.991510	88.625762	17	16
0.972187	90.363048	18	0
0.977901	90.894215	18	1
1.088459	101.170342	18	2
0.983008	91.368878	18	3
0.982100	91.284456	18	4
0.956039	88.862193	18	5
1.007926	93.684919	18	6
0.994321	92.420391	18	7
0.969187	90.084251	18	8
1.023983	95.177398	18	9
0.945975	87.926741	18	10
1.003556	93.278746	18	11
1.034840	96.186595	18	12
0.995531	92.532904	18	13
0.994430	92.430524	18	14
1.003350	93.259635	18	15
1.051356	97.721690	18	16
1.015851	94.421597	18	17
0.976124	97.276198	19	0
1.028968	102.542424	19	1
0.974569	97.121253	19	2
1.028445	102.490291	19	3
0.975898	97.253647	19	4
1.033029	102.947087	19	5
0.971372	96.802662	19	6
0.996159	99.272794	19	7
0.959013	95.571046	19	8
0.990156	98.674539	19	9
1.005895	100.243028	19	10
1.009962	100.648381	19	11
1.031469	102.791609	19	12
1.000241	99.679608	19	13
0.997013	99.357878	19	14
1.026625	102.308904	19	15
0.948244	94.497782	19	16
1.034139	103.057752	19	17
1.012682	100.919429	19	18
1.016850	106.956156	20	0
1.050945	110.542387	20	1
1.025295	107.844439	20	2
0.981503	103.238234	20	3
1.012988	106.549990	20	4
1.006547	105.872494	20	5
0.978261	102.897215	20	6
1.004369	105.643332	20	7
0.970710	102.102993	20	8
0.988863	104.012403	20	9
0.994418	104.596679	20	10
1.041756	109.575865	20	11
