SCORE	StdDev	width	second
0.993387	57.118946	11	0
1.011969	58.187373	11	1
0.946362	54.415044	11	2
1.028870	59.159164	11	3
0.989326	56.885426	11	4
0.983944	56.575966	11	5
1.009004	58.016874	11	6
1.038410	59.707697	11	7
0.990769	56.968428	11	8
0.980755	56.392614	11	9
1.027205	59.063436	11	10
0.996111	63.329856	12	0
1.015426	64.557850	12	1
0.996693	63.366865	12	2
0.989754	62.925698	12	3
1.018449	64.750042	12	4
0.961360	61.120504	12	5
0.993884	63.188301	12	6
1.011417	64.302956	12	7
1.019839	64.838447	12	8
0.988221	62.828256	12	9
0.990808	62.992734	12	10
1.018037	64.723862	12	11
1.012558	68.670367	13	0
1.017731	69.021167	13	1
1.009956	68.493897	13	2
1.000381	67.844544	13	3
1.036073	70.265100	13	4
0.978502	66.360728	13	5
0.978624	66.368968	13	6
0.938800	63.668182	13	7
1.028203	69.731336	13	8
0.975694	66.170292	13	9
1.021277	69.261621	13	10
0.980808	66.517108	13	11
1.021392	69.269472	13	12
1.008470	73.977134	14	0
1.007406	73.899131	14	1
1.017928	74.671000	14	2
1.039057	76.220899	14	3
1.004123	73.658311	14	4
1.047280	76.824082	14	5
0.987431	72.433822	14	6
0.942197	69.115648	14	7
1.011389	74.191310	14	8
0.969054	71.085796	14	9
0.978841	71.803693	14	10
0.975959	71.592291	14	11
0.998984	73.281315	14	12
1.011880	74.227339	14	13
0.951449	74.511136	15	0
0.987229	77.313151	15	1
1.006820	78.847361	15	2
1.042310	81.626739	15	3
1.000361	78.341571	15	4
0.996323	78.025327	15	5
1.008940	79.013441	15	6
1.015494	79.526659	15	7
0.993249	77.784620	15	8
1.000979	78.389954	15	9
0.984798	77.122769	15	10
0.964851	75.560624	15	11
1.011467	79.211293	15	12
0.986434	77.250876	15	13
1.049296	82.173827	15	14
0.998793	83.691203	16	0
1.002592	84.009530	16	1
1.026285	85.994801	16	2
1.014884	85.039497	16	3
0.964762	80.839627	16	4
0.998067	83.630355	16	5
1.011453	84.751993	16	6
1.026375	86.002354	16	7
1.032823	86.542657	16	8
0.989355	82.900333	16	9
1.005027	84.213583	16	10
0.958082	80.279911	16	11
0.975414	81.732228	16	12
0.998488	83.665605	16	13
0.970158	81.291761	16	14
1.027441	86.091675	16	15
0.958374	85.777341	17	0
0.963922	86.273926	17	1
1.023534	91.609344	17	2
1.014103	90.765293	17	3
0.977090	87.452464	17	4
1.027427	91.957793	17	5
0.992661	88.846111	17	6
1.008962	90.305156	17	7
0.968709	86.702324	17	8
1.060247	94.895267	17	9
0.969969	86.815114	17	10
1.004186	89.877627	17	11
0.950336	85.057933	17	12
1.051611	94.122309	17	13
0.998275	89.348599	17	14
1.030143	92.200917	17	15
1.000452	89.543488	17	16
0.976072	92.691021	18	0
0.999594	94.924775	18	1
1.022766	97.125203	18	2
1.001500	95.105761	18	3
0.984643	93.504964	18	4
0.994916	94.480516	18	5
0.999478	94.913731	18	6
1.012561	96.156123	18	7
0.984110	93.454353	18	8
0.987951	93.819103	18	9
0.992144	94.217207	18	10
1.022014	97.053790	18	11
0.987790	93.803742	18	12
1.029952	97.807660	18	13
0.979373	93.004434	18	14
1.051980	99.899496	18	15
